url,name,brand,country,gender,rating,rating_count,year,notes_top,notes_middle,notes_base,accords,embedding_text
https://www.fragrantica.com/perfume/esse-strikes-the-notes/donatella-49318.html,donatella,esse-strikes-the-notes,Italy,women,3.5,66,2018.0,"violet, iris, bergamot, rose","patchouli, myrhh, pink pepper, incense, woodsy notes","white musk, ambergris, vanilla","powdery, woody, violet, amber, patchouli","donatella by esse-strikes-the-notes. Accords: powdery, woody, violet, amber, patchouli. Top notes: violet, iris, bergamot, rose. Middle notes: patchouli, myrhh, pink pepper, incense, woodsy notes. Base notes: white musk, ambergris, vanilla"
https://www.fragrantica.com/perfume/emanuel-ungaro/apparition-sun-900.html,apparition-sun,emanuel-ungaro,France,women,3.5,48,2006.0,"pink grapefruit, raspberry","rose, freesia","musk, cedar","floral, rose, citrus, fruity, musky","apparition-sun by emanuel-ungaro. Accords: floral, rose, citrus, fruity, musky. Top notes: pink grapefruit, raspberry. Middle notes: rose, freesia. Base notes: musk, cedar"
https://www.fragrantica.com/perfume/dilis-parfum/nuelle-innocent-30888.html,nuelle-innocent,dilis-parfum,Turkey,women,3.5,26,2012.0,"tea leaf, peach blossom, peony","green lilac, musk, amber","chinese osmanthus, petitgrain, cedar","floral, fresh, green, fruity","nuelle-innocent by dilis-parfum. Accords: floral, fresh, green, fruity. Top notes: tea leaf, peach blossom, peony. Middle notes: green lilac, musk, amber. Base notes: chinese osmanthus, petitgrain, cedar"
https://www.fragrantica.com/perfume/franck-boclet/violet-38127.html,violet,franck-boclet,France,unisex,3.5,110,2016.0,"black, pink pepper, nutmeg, cardamom, citruses",violet,woody notes,"fresh spicy, woody, warm spicy, violet, powdery","violet by franck-boclet. Accords: fresh spicy, woody, warm spicy, violet, powdery. Top notes: black, pink pepper, nutmeg, cardamom, citruses. Middle notes: violet. Base notes: woody notes"
https://www.fragrantica.com/perfume/bruno-banani/absolute-man-22042.html,absolute-man,bruno-banani,Germany,men,3.5,185,2014.0,"mandarin orange, grapefruit, black pepper","violet leaf, lily-of-the-valley","woody notes, tonka bean, vanilla, amber","citrus, fresh spicy, vanilla, woody, amber","absolute-man by bruno-banani. Accords: citrus, fresh spicy, vanilla, woody, amber. Top notes: mandarin orange, grapefruit, black pepper. Middle notes: violet leaf, lily-of-the-valley. Base notes: woody notes, tonka bean, vanilla, amber"
https://www.fragrantica.com/perfume/blumarine/shine-like-a-night-73543.html,shine-like-a-night,blumarine,Italy,women,3.5,28,2022.0,"yellow mandarin, pink pepper, bergamot","frangipani, mugane, ginger","tonka bean, lorenox, ambroxan","floral, tropical, citrus, vanilla, amber","shine-like-a-night by blumarine. Accords: floral, tropical, citrus, vanilla, amber. Top notes: yellow mandarin, pink pepper, bergamot. Middle notes: frangipani, mugane, ginger. Base notes: tonka bean, lorenox, ambroxan"
https://www.fragrantica.com/perfume/al-haramain-perfumes/urbanist-femme-53249.html,urbanist-femme,al-haramain-perfumes,UAE,women,3.51,63,,"pineapple, apple, lemon, orange","jasmine, iris","musk, patchouli, amber","fruity, citrus, sweet, fresh, musky","urbanist-femme by al-haramain-perfumes. Accords: fruity, citrus, sweet, fresh, musky. Top notes: pineapple, apple, lemon, orange. Middle notes: jasmine, iris. Base notes: musk, patchouli, amber"
https://www.fragrantica.com/perfume/avon/make-me-smile-4097.html,make-me-smile,avon,USA,women,3.51,221,2008.0,"mandarin orange, bergamot, grapefruit","tagetes, jasmine, lily-of-the-valley","musk, tonka bean, woody notes, sandalwood","citrus, fresh spicy, aromatic, floral","make-me-smile by avon. Accords: citrus, fresh spicy, aromatic, floral. Top notes: mandarin orange, bergamot, grapefruit. Middle notes: tagetes, jasmine, lily-of-the-valley. Base notes: musk, tonka bean, woody notes, sandalwood"
https://www.fragrantica.com/perfume/avon/local-nature-almond-70923.html,local-nature-almond,avon,USA,unisex,3.51,67,2021.0,almond milk,pear,vanilla,"fruity, almond, sweet, vanilla, nutty","local-nature-almond by avon. Accords: fruity, almond, sweet, vanilla, nutty. Top notes: almond milk. Middle notes: pear. Base notes: vanilla"
https://www.fragrantica.com/perfume/azzaro/jolie-rose-14946.html,jolie-rose,azzaro,France,women,3.51,69,2012.0,"black currant, kumquat, lemon","rose, water lily, violet","musk, cedar","citrus, rose, floral, fruity, powdery","jolie-rose by azzaro. Accords: citrus, rose, floral, fruity, powdery. Top notes: black currant, kumquat, lemon. Middle notes: rose, water lily, violet. Base notes: musk, cedar"
https://www.fragrantica.com/perfume/bdk-parfums/sel-d-argent-61926.html,sel-d-argent,bdk-parfums,France,unisex,3.51,516,2020.0,"salt, grapefruit, bergamot","tunisian orange blossom, madagascar ylang-ylang, iran galbanum","white musk, ambroxan, iso e super, cashmeran","musky, citrus, amber, woody, salty","sel-d-argent by bdk-parfums. Accords: musky, citrus, amber, woody, salty. Top notes: salt, grapefruit, bergamot. Middle notes: tunisian orange blossom, madagascar ylang-ylang, iran galbanum. Base notes: white musk, ambroxan, iso e super, cashmeran"
https://www.fragrantica.com/perfume/cacharel/anais-anais-236.html,anais-anais,cacharel,France,women,3.51,8756,1978.0,"white lily, hiacynth, honeysuckle, galbanum, orange blossom, lavender, bergamot, black currant, lemon","lily, lily-of-the-valley, moroccan jasmine, carnation, honeysuckle, tuberose, ylang-ylang, iris, rose, orris root","oakmoss, incense, musk, leather, sandalwood, vetiver, cedar, patchouli, amber","white floral, floral, green, woody, earthy","anais-anais by cacharel. Accords: white floral, floral, green, woody, earthy. Top notes: white lily, hiacynth, honeysuckle, galbanum, orange blossom, lavender, bergamot, black currant, lemon. Middle notes: lily, lily-of-the-valley, moroccan jasmine, carnation, honeysuckle, tuberose, ylang-ylang, iris, rose, orris root. Base notes: oakmoss, incense, musk, leather, sandalwood, vetiver, cedar, patchouli, amber"
https://www.fragrantica.com/perfume/carolina-herrera/ch-kings-54662.html,ch-kings,carolina-herrera,USA,men,3.51,120,2019.0,"pink pepper, black pepper, violet, cardamom","cacao, lavender, coffee, pineapple, clary sage","tonka bean, musk, amber","warm spicy, aromatic, sweet, soft spicy, musky","ch-kings by carolina-herrera. Accords: warm spicy, aromatic, sweet, soft spicy, musky. Top notes: pink pepper, black pepper, violet, cardamom. Middle notes: cacao, lavender, coffee, pineapple, clary sage. Base notes: tonka bean, musk, amber"
https://www.fragrantica.com/perfume/davidoff/cool-water-wave-1318.html,cool-water-wave,davidoff,Switzerland,women,3.51,599,2007.0,"watermelon, guava, passionfruit, mango","pink pepper, peony, freesia","musk, iris, sandalwood, amber","floral, fruity, tropical, fresh, musky","cool-water-wave by davidoff. Accords: floral, fruity, tropical, fresh, musky. Top notes: watermelon, guava, passionfruit, mango. Middle notes: pink pepper, peony, freesia. Base notes: musk, iris, sandalwood, amber"
https://www.fragrantica.com/perfume/ex-nihilo/my-sweetest-morphine-81771.html,my-sweetest-morphine,ex-nihilo,France,unisex,3.51,89,2023.0,"lilac, ozonic notes, bergamot","mimosa, solar notes, rose","musk, patchouli, vetiver","floral, yellow floral, powdery, fresh, ozonic","my-sweetest-morphine by ex-nihilo. Accords: floral, yellow floral, powdery, fresh, ozonic. Top notes: lilac, ozonic notes, bergamot. Middle notes: mimosa, solar notes, rose. Base notes: musk, patchouli, vetiver"
