name,brand,accords,notes,rating,score,source,url
Essenza di Colonia Acqua di Parma for men,Acqua di Parma,"[['citrus', 100.0], ['aromatic', 63.807159328463], ['white floral', 62.443999051745], ['fresh spicy', 58.769078252624], ['woody', 48.677830219176], ['green', 46.246589513157]]","{'head': [], 'heart': [], 'base': []}",4.34,2.44520666111715,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Essenza-di-Colonia-9829.html
Colonia Mirra Acqua di Parma for men,Acqua di Parma,"[['amber', 100.0], ['warm spicy', 57.514439553592], ['fresh spicy', 56.381483818912], ['balsamic', 51.404531183844], ['citrus', 50.716705145514], ['patchouli', 49.421858648154], ['sweet', 47.528379814183]]","{'head': ['Orange Blossom', 'Citruses'], 'heart': ['Myrhh', 'Nutmeg'], 'base': ['Amber', 'Patchouli']}",4.16,0.0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Mirra-44015.html
Colonia C.L.U.B. Acqua di Parma for men,Acqua di Parma,"[['aromatic', 100.0], ['fresh spicy', 96.659123296232], ['citrus', 84.744180321272], ['woody', 60.511639357456], ['green', 56.889069845613], ['musky', 54.674964374145], ['powdery', 46.020698503477]]","{'head': ['Bergamot', 'Lemon', 'Pink Pepper', 'Black Pepper'], 'heart': ['Shiso', 'Rosemary'], 'base': ['Musk', 'Cedar']}",4.03,3.01442772101965,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-C-L-U-B-72707.html
Acqua Nobile Gelsomino Acqua di Parma for women,Acqua di Parma,"[['citrus', 100.0], ['white floral', 75.192026340973], ['aromatic', 53.044036786531], ['fresh spicy', 47.72406857736], ['green', 47.164095826643]]","{'head': [], 'heart': [], 'base': []}",4.13,0.0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-Nobile-Gelsomino-17384.html
Chinotto di Liguria Acqua di Parma for women and men,Acqua di Parma,"[['aromatic', 100.0], ['citrus', 90.517180218573], ['fresh spicy', 71.712433609182], ['warm spicy', 57.988570817682], ['woody', 52.503923922076], ['musky', 52.132475496747], ['white floral', 49.870789983916]]","{'head': ['Chinotto', 'Mandarin Orange'], 'heart': ['Rosemary', 'Jasmine', 'Geranium', 'Cardamom'], 'base': ['Musk', 'Patchouli']}",3.89,2.62136843583125,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Chinotto-di-Liguria-48940.html
Acqua di Parma Profumo Acqua di Parma for women,Acqua di Parma,"[['woody', 100.0], ['rose', 89.741491002571], ['yellow floral', 86.72411311054], ['white floral', 81.896692373608], ['floral', 74.655081405313], ['sweet', 60.896452442159], ['aromatic', 49.18971722365], ['earthy', 48.103307626392], ['musky', 47.379194515853], ['powdery', 46.655081405313]]","{'head': ['Ylang-Ylang', 'Peony', 'Bergamot'], 'heart': ['Bulgarian Rose', 'Jasmine', 'Labdanum'], 'base': ['Vetiver', 'Sandalwood', 'Patchouli', 'Musk']}",4.29,5.0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Profumo-1683.html
Acqua di Parma Blu Mediterraneo - Arancia La Spugnatura Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['sweet', 45.842133336136], ['fresh spicy', 45.578934645692]]","{'head': ['Sicilian Orange', 'Mandarin Orange', 'Lemon'], 'heart': ['Bitter Almond', 'Black Pepper'], 'base': ['Cedar', 'Musk']}",4.1,0.0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-La-Spugnatura-80686.html
Acqua di Parma Iris Nobile Acqua di Parma for women,Acqua di Parma,"[['white floral', 100.0], ['powdery', 92.677261939682], ['citrus', 85.520030576962], ['yellow floral', 82.665351146192], ['iris', 78.579948979138], ['tuberose', 75.898864919158], ['sweet', 70.023377154387], ['floral', 67.212252117721], ['woody', 60.228616125792], ['violet', 54.290285592384]]","{'head': ['Iris', 'Star Anise', 'Bergamot', 'Mandarin Orange', 'Orange'], 'heart': ['Tuberose', 'Orange Blossom', 'Mimosa', 'Ylang-Ylang', 'Hibiscus', 'Cedar'], 'base': ['Vanilla', 'Amber']}",4.01,3.0139878513663003,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Iris-Nobile-1564.html
Iris Nobile 10th Anniversary Special Edition Acqua di Parma for women,Acqua di Parma,"[['powdery', 100.0], ['citrus', 97.231552211081], ['yellow floral', 88.333775612715], ['floral', 79.830733362397], ['sweet', 74.293837784559], ['woody', 73.898440017438], ['white floral', 71.920787762761], ['iris', 69.547737740963], ['soft spicy', 64.209204465758], ['anis', 61.6384555604]]","{'head': ['Iris Flower', 'Star Anise', 'Mandarin Orange', 'Orange', 'Bergamot'], 'heart': ['Ylang-Ylang', 'Mimosa', 'Tuberose', 'Cedar', 'Hibiscus', 'Orange Blossom'], 'base': ['Vanila', 'Amber']}",3.78,3.6949220008719004,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Iris-Nobile-10th-Anniversary-Special-Edition-25511.html
Colonia Il Profumo Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['aromatic', 56.198224852071], ['fresh spicy', 49.943375524119], ['woody', 48.345089279883]]","{'head': ['Orange', 'Bergamot', 'Lemon', 'Petitgrain', 'Pineapple'], 'heart': ['Verbena', 'Neroli', 'Lavender', 'Ylang-Ylang', 'Rose'], 'base': ['Moss', 'Vetiver', 'Cedar', 'Patchouli', 'Leather', 'Sandalwood']}",4.18,2.40037641841745,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Il-Profumo-100793.html
