name,brand,accords,notes,rating,score,source,url
Colonia Vaniglia Acqua di Parma for men,Acqua di Parma,"[['vanilla', 100.0], ['citrus', 98.599950817944], ['musky', 84.599868847852], ['powdery', 81.380083609494], ['white floral', 77.600032788037], ['sweet', 53.240160661382], ['fresh spicy', 45.400131152148], ['floral', 44.13984097802]]","{'head': ['Mandarin Orange', 'Bergamot'], 'heart': ['Vanilla', 'Jasmine Sambac'], 'base': []}",4.05,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Vaniglia-50214.html
Sakura Eau de Parfum Acqua di Parma for women and men,Acqua di Parma,"[['floral', 100.0], ['citrus', 72.558801429905], ['musky', 68.524465493294], ['fresh', 63.204535622396], ['white floral', 53.939206266081], ['fruity', 52.21020515039], ['powdery', 49.46178191671]]","{'head': ['Calabrian bergamot', 'Yellow Mandarin', 'Pink Pepper'], 'heart': ['Cherry Blossom', 'Jasmine Sambac'], 'base': []}",3.96,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Sakura-Eau-de-Parfum-56007.html
Colonia Club Acqua di Parma for women and men,Acqua di Parma,"[['aromatic', 100.0], ['citrus', 85.239310818118], ['green', 83.686052073369], ['fresh spicy', 80.096961693632], ['lavender', 51.024310610157]]","{'head': ['Mint', 'Bergamot', 'Neroli', 'Lemon', 'Petitgrain', 'Mandarin Orange'], 'heart': ['Lavender', 'Geranium', 'Galbanum'], 'base': ['Haitian Vetiver', 'Ambergris', 'Musk']}",4.03,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Club-31424.html
Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['woody', 74.767734591955], ['fruity', 60.06818358774], ['sweet', 51.247362937641], ['fresh spicy', 45.022931783043], ['aromatic', 44.94766659375]]","{'head': ['Grapefruit', 'Bergamot', 'Citron', 'Lemon'], 'heart': ['Fig Nectar', 'Jasmine', 'Pink Pepper'], 'base': ['Fig Tree', 'Cedar', 'Benzoin']}",4.32,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Fico-di-Amalfi-1687.html
Leather Eau de Parfum Acqua di Parma for women and men,Acqua di Parma,"[['leather', 100.0], ['woody', 92.250159246939], ['citrus', 69.964257909265], ['animalic', 65.97641965697], ['fruity', 65.83315639229], ['smoky', 58.380989454314], ['rose', 57.92849222639], ['sweet', 57.452461839715], ['aromatic', 54.642932974733]]","{'head': ['Raspberry', 'Brazilian Orange', 'Sicilian Lemon'], 'heart': ['Rose', 'Red Thyme', 'Petitgrain', 'Honeysuckle'], 'base': ['Leather', 'Guaiac Wood', 'Cedar']}",4.08,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Leather-Eau-de-Parfum-55999.html
Colonia Sandalo Concentrée  Acqua di Parma for men,Acqua di Parma,"[['citrus', 100.0], ['aromatic', 85.070943861814], ['woody', 82.218207455715], ['warm spicy', 80.625716048295], ['lavender', 66.492905613819], ['fresh spicy', 59.426720719133], ['powdery', 58.91248788226], ['amber', 58.530889221821], ['sweet', 47.881378337887], ['vanilla', 44.862518727417]]","{'head': ['Orange', 'Bergamot', 'Lemon', 'Petitgrain'], 'heart': ['Lavender', 'Cardamom'], 'base': ['Sandalwood', 'Tonka Bean', 'Amber']}",4.28,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Sandalo-Concentree-38166.html
Colonia Ebano Acqua di Parma for men,Acqua di Parma,"[['woody', 100.0], ['warm spicy', 66.04112964284], ['honey', 55.291929434522], ['amber', 53.351510085472], ['aromatic', 53.024634896738], ['citrus', 49.077931001282], ['earthy', 47.006700306787], ['balsamic', 46.047212873692]]","{'head': ['Resins', 'Red Pepper', 'Petitgrain', 'Bergamot'], 'heart': ['Ebony', 'Honey'], 'base': ['Vetiver', 'Patchouli']}",4.02,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Ebano-43409.html
Mirto Di Panarea Forte Special Edition Eau De Toilette Acqua di Parma for women and men,Acqua di Parma,"[['aromatic', 100.0], ['fresh spicy', 78.368092115159], ['herbal', 59.166578923618], ['citrus', 54.366332240306], ['marine', 48.229144730905], ['woody', 44.097236846064]]","{'head': ['Myrtle', 'Italian Lemon', 'Basil', 'Bergamot'], 'heart': ['Sea Notes', 'Jasmine', 'Damask Rose'], 'base': ['Juniper', 'Mastic or Lentisque', 'Cedar', 'Amber']}",4.37,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Mirto-Di-Panarea-Forte-Special-Edition-Eau-De-Toilette-73942.html
Oud and Zagara Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['musky', 89.684391586397], ['white floral', 88.947513269117], ['amber', 85.263121682721], ['yellow floral', 77.895026538235], ['oud', 77.895026538235], ['sweet', 77.526243365441], ['woody', 73.473756634559], ['leather', 72.0], ['warm spicy', 64.447513269117]]","{'head': ['Lemon', 'Nutmeg'], 'heart': ['Orange Blossom', 'Ylang-Ylang', 'Agarwood (Oud)', 'Saffron'], 'base': ['Suede', 'Labdanum', 'Musk', 'Ambergris', 'Vetiver']}",3.7,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Oud-and-Zagara-93634.html
Mirto di Panarea Limited Edition Acqua di Parma for women and men,Acqua di Parma,"[['aromatic', 100.0], ['fresh spicy', 69.851632425816], ['citrus', 68.638724319362], ['herbal', 56.683085841543], ['marine', 54.257567128784], ['woody', 51.831750915875]]","{'head': ['Myrtle', 'Italian Lemon', 'Bergamot', 'Basil'], 'heart': ['Sea Notes', 'Jasmine', 'Damask Rose'], 'base': ['Juniper', 'Virginian Cedar', 'Amber', 'Mastic or Lentisque']}",4.0,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Mirto-di-Panarea-Limited-Edition-64668.html
